id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
4048721,Dontae Crow,Wyoming,2,1.295,2.589,,2.589,WR,2018
3886827,Quinten Pounds,Washington,10,1.298,12.977,12.977,,WR,2018
4362678,Alec Harris,Texas State,5,1.302,6.509,0.647,5.862,RB,2018
4035851,Demetris Robertson,Georgia,6,1.304,7.824,-1.916,9.74,WR,2018
4371980,Harold Joiner,Auburn,3,1.313,3.939,,3.939,RB,2018
4039082,Jason Pirtle,North Texas,1,1.313,1.313,1.313,,TE,2018
3915270,Myles Washington,Kent State,3,1.314,3.941,3.941,,RB,2018
3914812,Dominic Christian,Nevada,4,1.316,5.264,5.264,,WR,2018
4243318,Hunter Bryant,Washington,15,1.318,19.772,19.772,,TE,2018
4245639,Stanley Berryhill III,Arizona,18,1.32,23.766,22.167,1.599,WR,2018
4048228,John Bates,Boise State,11,1.324,14.559,14.559,,TE,2018
4361739,Josh Johnson,Iowa State,1,1.326,1.326,1.326,,WR,2018
4241898,Maverick Wolfley,Akron,4,1.332,5.327,5.327,,TE,2018
3929879,Garrett Collingham,Boise State,7,1.342,9.395,7.707,1.688,TE,2018
3916143,Kedarian Jones,Memphis,9,1.342,12.076,12.076,,WR,2018
4259259,Ronald Patterson,Florida Atlantic,4,1.342,5.369,5.369,,WR,2018
4240412,Aaron Hackett,Syracuse,4,1.342,5.366,5.366,,TE,2018
4036482,Javonis Isaac,Arkansas State,11,1.354,14.892,14.892,,TE,2018
4361679,Devin Carter,NC State,1,1.355,1.355,1.355,,WR,2018
4360516,Tyrone Tracy Jr.,Iowa,2,1.355,2.711,3.156,-0.446,WR,2018
4363409,Austin Watkins,UAB,8,1.356,10.848,10.848,,WR,2018
4036926,Kjetil Cline,Army,3,1.361,4.084,4.084,,WR,2018
4361370,Chris Olave,Ohio State,14,1.361,19.054,19.054,,WR,2018
4035390,Jared Atkinson,Baylor,1,1.365,1.365,1.365,,WR,2018
4260395,Nick Sipe,Purdue,2,1.369,2.738,2.401,0.337,QB,2018
4039553,Ryan Becker,SMU,9,1.371,12.341,12.341,,TE,2018
3122435,Cole Neph,Tulsa,16,1.377,22.034,22.034,,TE,2018
4360405,Jake Bobo,Duke,12,1.38,16.562,16.562,,WR,2018
3929844,John Burt,Texas,1,1.385,1.385,1.385,,WR,2018
4242231,Racey McMath,LSU,2,1.403,2.807,2.807,,WR,2018
4038983,Andrew Homer,Miami (OH),17,1.406,23.902,23.902,,TE,2018
4036542,Darius Stubbs,Georgia State,4,1.41,5.639,4.579,1.06,RB,2018
3115970,Joe Hewlett,Michigan,1,1.414,1.414,,1.414,RB,2018
4035611,Gabe Nabers,Florida State,3,1.418,4.255,4.255,,TE,2018
4362619,Chris Rodriguez Jr.,Kentucky,2,1.42,2.84,,2.84,RB,2018
4038556,Artayvious Lynn,TCU,3,1.422,4.265,4.265,,TE,2018
3916899,Austin Cantrell,Arkansas,9,1.423,12.806,12.806,,TE,2018
4374298,Devon Williams,USC,5,1.425,7.127,7.127,,WR,2018
3122413,Nick Basquine,Oklahoma,8,1.425,11.4,11.4,,WR,2018
3924367,Kyle Markway,South Carolina,4,1.427,5.709,5.709,,TE,2018
3128754,Alex Weber,Ole Miss,3,1.43,4.29,4.29,,WR,2018
3914459,Isiah Upton,Middle Tennessee,4,1.439,5.754,5.754,,WR,2018
4252353,Justin Smith,Navy,1,1.444,1.444,1.444,,RB,2018
4244722,Luke Endsley,Ball State,1,1.452,1.452,1.452,,WR,2018
3915190,Jayson Stanley,Georgia,6,1.454,8.727,2.662,6.065,WR,2018
4046522,Devin Asiasi,UCLA,8,1.456,11.648,11.648,,TE,2018
4373015,Craig Williams,Baylor,2,1.465,2.931,,2.931,RB,2018
4239819,Logan Scott,UAB,2,1.467,2.934,2.934,,TE,2018
4362749,Kam Scott,Missouri,10,1.477,14.773,14.773,,WR,2018
4053625,Reggie Turner,Oklahoma,1,1.48,1.48,1.48,,WR,2018
4046715,Trishton Jackson,Syracuse,3,1.481,4.443,4.443,,WR,2018
4240785,Clevan Thomas,Kentucky,3,1.488,4.463,4.463,,WR,2018
3122854,Cannon Smith,Clemson,2,1.495,2.99,2.99,,TE,2018
3917916,Tanner Cowley,Virginia,4,1.497,5.989,5.989,,TE,2018
4241263,Charlie Kolar,Iowa State,12,1.501,18.011,18.011,,TE,2018
4064365,Thomas Reid III,Arizona,1,1.514,1.514,1.514,,WR,2018
4240858,Hendon Hooker,Virginia Tech,3,1.524,4.572,,4.572,QB,2018
4365508,Jt Wood,Liberty,5,1.529,7.645,7.645,,TE,2018
4035893,Keegan Brewer,North Texas,7,1.531,10.716,10.716,,WR,2018
4261657,Noah Bean,UNLV,3,1.533,4.6,4.6,,TE,2018
4361329,Joey Gatewood,Auburn,4,1.533,6.131,-0.375,6.506,WR,2018
4374272,Shemar Thornton,Florida International,8,1.534,12.272,12.272,,WR,2018
4360294,Antonio Gibson,Memphis,7,1.539,10.771,10.771,,WR,2018
4240346,Jared Scott,Wyoming,1,1.563,1.563,1.563,,WR,2018
3916166,Joey Magnifico,Memphis,25,1.565,39.136,39.136,,TE,2018
4260935,K.J. Minter,Ohio,1,1.566,1.566,1.566,,WR,2018
4040419,Bobby Holly,Louisiana Tech,4,1.571,6.283,6.283,,FB,2018
